BEGIN GB-L03 The Puppet Laundry
PASS GB-L03 walk 8 | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 spider strings Host | (7.85, 0.76) feet=0.01 hp=6
PASS GB-L03 thread 29 length 9.5 | (35.03, 2.96) feet=2.21 hp=6
PASS GB-L03 thread 43 length 9.5 | (45.89, 1.66) feet=0.91 hp=6
PASS GB-L03 thread 53 length 9.5 | (53.16, 1.99) feet=1.24 hp=6
PASS GB-L03 thread 76 length 10.5 | (78.69, 1.62) feet=0.87 hp=6
PASS GB-L03 thread 89 length 5.5 | (92.75, 8.52) feet=7.77 hp=6
PASS GB-L03 physical laundry key | (86.70, 7.40) feet=6.65 hp=6
PASS GB-L03 thread 99 length 6.4 | (98.82, 6.84) feet=6.09 hp=6
PASS GB-L03 lines cut on Turn | (98.82, 6.83) feet=6.08 hp=6
PASS GB-L03 thread 77 length 5.5 | (74.44, 6.65) feet=5.90 hp=6
PASS GB-L03 thread 62 length 10.5 | (61.78, 0.85) feet=0.10 hp=6
PASS GB-L03 thread 53 length 9.5 | (50.62, 2.75) feet=2.00 hp=6
PASS GB-L03 thread 40 length 9.5 | (40.44, 0.46) feet=-0.29 hp=6
PASS GB-L03 thread 7 length 10.5 | (11.70, 2.65) feet=1.90 hp=6
PASS GB-L03 shears release the body | (4.66, 1.21) feet=0.46 hp=6
PASS GB-L03 walk 2 | (3.18, 0.76) feet=0.01 hp=6
PASS GB-L03 critical path returns to entrance | (3.18, 0.76) feet=0.01 hp=6
PASS GB-L03 practice does not write stage or Mercy progress | (3.18, 0.76) feet=0.01 hp=6
